,base_market,quote_market,hedge_ratio,half_life
0,UMA-USD,BCH-USD,0.005497712040435719,13.0
1,UMA-USD,COMP-USD,0.05019515813618604,14.0
2,UMA-USD,ALGO-USD,15.535844169295144,13.0
3,UMA-USD,FIL-USD,0.43137427652348814,5.0
4,UMA-USD,MATIC-USD,3.9825860116759375,22.0
5,UMA-USD,CRV-USD,5.969405539688307,7.0
6,UMA-USD,CELO-USD,3.3762882760352504,8.0
7,UMA-USD,1INCH-USD,6.500605005481019,10.0
8,UMA-USD,AVAX-USD,0.07658183828241773,12.0
9,UMA-USD,SNX-USD,0.919249082693259,9.0
10,UMA-USD,UNI-USD,0.34949438708520214,18.0
11,SOL-USD,ZEC-USD,6.430081273775429,6.0
12,SOL-USD,LINK-USD,10.071672885965432,8.0
13,SOL-USD,YFI-USD,0.020790401749468,10.0
14,SOL-USD,COMP-USD,2.5001712131164626,24.0
15,SOL-USD,ALGO-USD,774.0297876060877,17.0
16,SOL-USD,ADA-USD,300.4079704040169,8.0
17,SOL-USD,ZRX-USD,268.62911501160943,22.0
18,SOL-USD,ATOM-USD,16.5595000769926,11.0
19,SOL-USD,LTC-USD,1.762677955696401,7.0
20,ZEC-USD,ETC-USD,0.8174512809235486,9.0
21,ZEC-USD,LINK-USD,1.5660498215881251,6.0
22,ZEC-USD,YFI-USD,0.003232322685280262,14.0
23,ZEC-USD,COMP-USD,0.38886925224078234,16.0
24,ZEC-USD,ALGO-USD,120.38057927292675,11.0
25,ZEC-USD,DOT-USD,3.218273531987718,5.0
26,ZEC-USD,CELO-USD,26.142610451689613,20.0
27,ZEC-USD,ADA-USD,46.715226403702474,6.0
28,ZEC-USD,ZRX-USD,41.78552520643339,15.0
29,ZEC-USD,AVAX-USD,0.5932230220499779,19.0
30,ZEC-USD,SNX-USD,7.117748336489879,23.0
31,ZEC-USD,XLM-USD,205.89588109840585,20.0
32,ZEC-USD,LTC-USD,0.2740735108073684,7.0
33,AAVE-USD,ENJ-USD,270.275952516643,7.0
34,ETC-USD,XTZ-USD,26.461926414937924,6.0
35,ETC-USD,LINK-USD,1.9153161863942119,5.0
36,ETC-USD,YFI-USD,0.003952569655484051,20.0
37,ETC-USD,COMP-USD,0.47555413176286915,17.0
38,ETC-USD,ALGO-USD,147.2291633625168,11.0
39,ETC-USD,DOT-USD,3.935570127829787,10.0
40,ETC-USD,ADA-USD,57.12922203691526,7.0
